entry_date,exit_date,side,holding_days,trade_return,entry_equity,exit_equity,status
2024-02-01,2024-02-13,short_spread,8,0.032461408338646525,10300.214554744158,10773.502127864213,closed
2024-02-20,2024-03-19,short_spread,20,0.02874950331005577,10983.156742438527,11062.706306707854,closed
2024-03-20,2024-04-18,short_spread,20,0.23898151499962283,11082.810546364728,13681.1011049443,closed
2024-04-19,2024-05-17,short_spread,20,0.12498725331038774,13474.168088858374,15362.556624359706,closed
2024-05-20,2024-06-18,short_spread,20,0.06516417944231034,15291.282848064247,16333.335851746506,closed
2024-06-20,2024-06-21,short_spread,1,-0.06889072340086044,15208.12052937048,15179.95165273091,closed
2024-07-17,2024-08-14,short_spread,20,-0.07798088852859308,14919.828093754195,13970.281398883202,closed
2024-08-15,2024-09-13,short_spread,20,-0.11486106104308502,13781.939460680052,12342.736094009539,closed
2024-09-16,2024-09-20,short_spread,4,0.06414537481903948,12199.661340781351,13110.137528175368,closed
2024-10-31,2024-11-27,long_spread,19,0.06970318417357357,13234.19607211977,13997.98032282401,closed
2024-12-12,2025-01-14,long_spread,20,-0.026652196497069403,14041.258626875,13599.667000027766,closed
2025-01-15,2025-02-13,long_spread,20,0.1362896826895199,13243.38084408093,15424.53855261224,closed
2025-02-14,2025-03-07,long_spread,14,-0.06547523052312998,15399.648618764486,14387.914213203796,closed
2025-03-21,2025-04-01,long_spread,7,0.07842300108487943,14482.49861155666,15487.518008967305,closed
2025-06-23,2025-07-22,long_spread,20,-0.11633537112518078,16096.318131100508,13660.42271078339,closed
2025-07-23,2025-08-20,long_spread,20,-0.15005246031710107,13658.861393672792,11589.137139528028,closed
2025-08-21,2025-09-19,long_spread,20,-0.2412552366657933,11498.200066302497,8776.910127635158,closed
2025-09-22,2025-10-10,long_spread,14,0.09650136162472633,8835.582670502768,9606.068279053256,closed
2025-10-31,2025-12-01,long_spread,20,-0.11180107629630587,9629.470620064238,8516.29612972341,closed
2025-12-02,2025-12-10,long_spread,6,0.03814661492313709,8598.082763512908,8824.788164703412,closed
2026-01-29,2026-02-27,long_spread,20,-0.17658990621119053,8457.762928292143,7252.960598778049,closed
2026-03-02,2026-03-27,long_spread,19,0.022215141206834987,7246.466881001908,7400.353579340692,closed
2026-04-10,2026-05-08,long_spread,20,-0.2097872965395453,7152.825800604542,5837.021862219026,closed
2026-05-11,2026-06-01,long_spread,14,0.07603162296655541,5716.0482276480525,6269.186609231449,closed
2026-06-22,2026-07-17,long_spread,18,0.16680592504673686,6369.660540612251,7301.375188119624,closed
