date,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2022-06-01,41.036,39.8903,-0.06866359089926144,-0.595013799715247,0,1.026309449400019,0,0.0,-0.002355778464440794,0.003905866601568997,-0.0,0.0,-0.0,10000.0
2022-06-02,41.6343,39.1354,-0.03458055403721305,0.3604797826396759,0,1.026309449400019,0,0.0,0.01457988108002728,-0.018924400167459443,0.0,0.0,0.0,10000.0
2022-06-03,41.1292,41.0226,-0.09512133748903917,-1.2766858124521838,0,1.026309449400019,0,0.0,-0.012131824000883973,0.048222325567133684,-0.0,0.0,-0.0,10000.0
2022-06-06,41.7482,43.0562,-0.1298393700066356,-2.1042041870854074,1,1.026309449400019,1,0.0,0.015050134697489836,0.04957267457450287,-0.0,0.0,-0.0,10000.0
2022-06-07,41.7685,39.3212,-0.036223430973414406,0.39921520772923436,1,1.026309449400019,1,1.0,0.00048624850891787474,-0.08674708868873704,0.08951560533811019,0.0010131547247000095,0.08850245061341018,10885.024506134103
2022-06-08,42.5832,40.3151,-0.04252510727865211,0.25535690444961984,1,1.026309449400019,1,1.0,0.019505129463590842,0.02527644120728767,-0.0064363209946525154,0.0,-0.0064363209946525154,10814.964994377964
2022-06-09,42.7976,39.6405,-0.02018415883431901,0.8813916413425342,1,1.026309449400019,1,1.0,0.005034849424186083,-0.016733184340358753,0.022208274631248692,0.0,0.022208274631248692,11055.146707100452
2022-06-10,43.2288,39.6071,-0.009294140539065854,1.203804920344843,1,1.026309449400019,1,1.0,0.010075331326990122,-0.000842572621435167,0.01094007157017478,0.0,0.01094007157017478,11176.090803294914
2022-06-13,44.1677,40.5976,-0.013157742102502201,1.0982836345383433,1,1.026309449400019,1,1.0,0.02171931675179528,0.02500814247950478,-0.003946776186862493,0.0,-0.003946776186862493,11131.981274250258
2022-06-14,43.8793,38.1976,0.04283065259913332,2.532188816392742,1,1.026309449400019,1,1.0,-0.006529658551384876,-0.0591167950814826,0.05414246685898527,0.0,0.05414246685898527,11734.694201466198
2022-06-15,44.1041,38.2108,0.04758611659274514,2.5095581237014573,1,1.026309449400019,1,1.0,0.005123144626281606,0.0003455714495150808,0.004768481382201417,0.0,0.004768481382201417,11790.650872291715
2022-06-16,44.581,38.8971,0.04007128002832694,2.2011726121446613,1,1.026309449400019,1,1.0,0.01081305366167773,0.017960890638248905,-0.007620378119997457,0.0,-0.007620378119997457,11700.801654363973
2022-06-17,44.0643,37.8403,0.056683171439877,2.442383214644531,1,1.026309449400019,1,1.0,-0.011590139297009916,-0.027169120577112515,0.016293785883169154,0.0,0.016293785883169154,11891.45201118161
2022-06-20,43.3587,37.1866,0.05842528019712123,2.367781728280023,1,1.026309449400019,1,1.0,-0.016012962874708214,-0.017275233018765768,0.0017167720130383084,0.0,0.0017167720130383084,11911.866923188792
2022-06-21,43.7409,37.9517,0.04629986550419174,2.0349650556619205,1,1.026309449400019,1,1.0,0.008814839928318996,0.02057461558733542,-0.012301082466736266,0.0,-0.012301082466736266,11765.33806583386
2022-06-22,43.9467,37.8369,0.054102996003162485,2.10433278789627,1,1.026309449400019,1,1.0,0.0047049786355561896,-0.003024897435424556,0.007809459456998295,0.0,0.007809459456998295,11857.218996456868
2022-06-23,44.1105,39.2658,0.019778947850645157,1.3489732961635172,1,1.026309449400019,1,1.0,0.0037272423185359393,0.037764721739888873,-0.03503104845707433,0.0,-0.03503104845707433,11441.848183225844
2022-06-24,43.4287,37.9813,0.038336640730831206,1.6689252694807213,1,1.026309449400019,1,1.0,-0.015456637308577381,-0.03271294612614539,0.018116968418399375,0.0,0.018116968418399375,11649.139785409467
2022-06-27,42.8794,40.2095,-0.03290158547126598,0.20683537906967403,0,1.026309449400019,0,1.0,-0.012648317817480215,0.05866571181081226,-0.07285749220469513,0.0,-0.07285749220469513,10800.41267430259
2022-06-28,42.479,39.0606,-0.012531589007752864,0.6156480401355264,0,1.026309449400019,0,0.0,-0.009337817226920064,-0.028572849699697755,0.0,0.0010131547247000095,-0.0010131547247000095,10789.470185172911
2022-06-29,42.1049,41.3617,-0.08012432765842803,-0.737855664101321,0,1.026309449400019,0,0.0,-0.008806704489277006,0.05891102543227689,-0.0,0.0,-0.0,10789.470185172911
2022-06-30,41.8283,40.4351,-0.06346209881517417,-0.3838751369174475,0,1.026309449400019,0,0.0,-0.006569306660270002,-0.02240236740752921,0.0,0.0,0.0,10789.470185172911
2022-07-01,41.5437,38.5516,-0.021333764594260618,0.4687681552472935,0,1.026309449400019,0,0.0,-0.006804005900311494,-0.04658081716132756,0.0,0.0,0.0,10789.470185172911
